step,robot_id,x,y
1,drone,10.284604989415154,1.8538149682454623
1,scout,10.003168395113958,1.0095051853418744
1,rover,10,1
2,drone,10.569209978830308,2.7076299364909246
2,scout,10.006336790227916,1.0190103706837488
2,rover,10,1
3,drone,10.490897172748143,3.604216298423526
3,scout,10.009505185341874,1.0285155560256232
3,rover,10,1
4,drone,11.163961718045902,4.201697777519842
4,scout,10.012673580455832,1.0380207413674976
4,rover,10,1
5,drone,11.38947638352626,5.072985982222099
5,scout,10.01584197556979,1.047525926709372
5,rover,10,1
6,drone,11.942216377989089,5.7832524804614795
6,scout,10.019010370683748,1.0570311120512463
6,rover,10,1
7,drone,12.494956372451918,6.493518978700861
7,scout,10.022178765797706,1.0665362973931207
7,rover,10,1
8,drone,12.499466350985173,7.393507678681938
8,scout,10.025347160911664,1.0760414827349951
8,rover,10,1
9,drone,12.49990041098562,8.293507574010775
9,scout,10.028515556025623,1.0855466680768695
9,rover,10,1
10,drone,13.07426441276449,8.98640438700717
10,scout,10.03168395113958,1.095051853418744
10,rover,10,1
11,drone,13.64862841454336,9.679301200003566
11,scout,10.034852346253539,1.1045570387606183
11,rover,10,1
12,drone,14.296589678531616,10.303918042852636
12,scout,10.038020741367497,1.1140622241024927
12,rover,10,1
13,drone,14.447480696786348,11.191178940565395
13,scout,10.041189136481455,1.123567409444367
13,rover,10,1
14,drone,15.01148926814281,11.892530729211039
14,scout,10.044357531595413,1.1330725947862414
14,rover,10,1
15,drone,15.57549783949927,12.593882517856683
15,scout,10.04752592670937,1.1425777801281158
15,rover,10,1
16,drone,16.21825277395383,13.22385560794412
16,scout,10.050694321823329,1.1520829654699902
16,rover,10,1
17,drone,16.856041316038343,13.858856218641234
17,scout,10.053862716937287,1.1615881508118646
17,rover,10,1
18,drone,17.49382985812286,14.493856829338348
18,scout,10.057031112051245,1.171093336153739
18,rover,10,1
19,drone,18.130234490807535,15.130244402675135
19,scout,10.060199507165203,1.1805985214956134
19,rover,10,1
20,drone,18.766632896417462,15.766638203192661
20,scout,10.063367902279161,1.1901037068374878
20,rover,10,1
21,drone,19.40303130202739,16.403032003710187
21,scout,10.06653629739312,1.1996088921793622
21,rover,10,1
22,drone,20.039427608632664,17.039427903240636
22,scout,10.069704692507077,1.2091140775212366
22,rover,10,1
23,drone,20.675823775883398,17.67582394212568
23,scout,10.072873087621035,1.218619262863111
23,rover,10,1
24,drone,21.312219943134135,18.312219981010724
24,scout,10.076041482734993,1.2281244482049853
24,rover,10,1
25,drone,21.948616056348904,18.948616073931742
25,scout,10.079209877848951,1.2376296335468597
25,rover,10,1
26,drone,22.585012169563672,19.585012166852756
26,scout,10.08237827296291,1.2471348188887341
26,rover,10,1
27,drone,23.221408271688812,20.221408270863403
27,scout,10.085546668076868,1.2566400042306085
27,rover,10,1
28,drone,23.85780437455129,20.857804374136713
28,scout,10.088715063190826,1.266145189572483
28,rover,10,1
29,drone,24.494200477413766,21.494200477410022
29,scout,10.091883458304784,1.2756503749143573
29,rover,10,1
30,drone,25.130596580480475,22.1305965804791
30,scout,10.095051853418742,1.2851555602562317
30,rover,10,1
31,drone,25.766992683548047,22.76699268354731
